,state,district,pincode,has_enrolment_5_17,has_demographic_5_17,has_biometric_5_17,lifecycle_state
0,Andaman & Nicobar Islands,Andamans,744101,True,True,True,Complete
1,Andaman & Nicobar Islands,Andamans,744102,False,False,False,No Activity
2,Andaman & Nicobar Islands,Andamans,744103,True,True,True,Complete
3,Andaman & Nicobar Islands,Andamans,744105,False,True,True,Unclear
4,Andaman & Nicobar Islands,Andamans,744106,True,False,True,Unclear
5,Andaman & Nicobar Islands,Andamans,744107,True,True,True,Complete
6,Andaman & Nicobar Islands,Andamans,744112,False,False,True,Unclear
7,Andaman & Nicobar Islands,Andamans,744202,False,False,False,No Activity
8,Andaman & Nicobar Islands,Andamans,744206,False,False,True,Unclear
9,Andaman & Nicobar Islands,Andamans,744207,False,False,False,No Activity
10,Andaman & Nicobar Islands,Andamans,744209,False,False,False,No Activity
11,Andaman & Nicobar Islands,Andamans,744211,False,False,False,No Activity
12,Andaman & Nicobar Islands,Nicobars,744301,False,False,True,Unclear
13,Andaman & Nicobar Islands,South Andaman,744102,False,False,False,No Activity
14,Andaman & Nicobar Islands,South Andaman,744103,False,True,True,Unclear
15,Andaman & Nicobar Islands,South Andaman,744105,False,True,True,Unclear
16,Andaman & Nicobar Islands,South Andaman,744107,False,False,True,Unclear
17,Andaman & Nicobar Islands,South Andaman,744206,False,False,True,Unclear
18,Andaman & Nicobar Islands,South Andaman,744207,False,False,False,No Activity
19,Andaman and Nicobar Islands,Nicobar,744301,True,True,True,Complete
20,Andaman and Nicobar Islands,Nicobar,744302,False,True,True,Unclear
21,Andaman and Nicobar Islands,Nicobar,744303,False,True,True,Unclear
22,Andaman and Nicobar Islands,Nicobar,744304,False,True,True,Unclear
23,Andaman and Nicobar Islands,North And Middle Andaman,744201,True,True,True,Complete
24,Andaman and Nicobar Islands,North And Middle Andaman,744202,True,True,True,Complete
25,Andaman and Nicobar Islands,North And Middle Andaman,744203,False,False,True,Unclear
26,Andaman and Nicobar Islands,North And Middle Andaman,744204,False,True,True,Unclear
27,Andaman and Nicobar Islands,North And Middle Andaman,744205,False,True,True,Unclear
28,Andaman and Nicobar Islands,North And Middle Andaman,744209,False,True,True,Unclear
29,Andaman and Nicobar Islands,North And Middle Andaman,744210,False,False,True,Unclear
